地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域,透視度(河川･湖沼),ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒素,硝酸性窒素,ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン生成能,ジブロモクロロメタン生成能,ブロモホルム生成能,クロロホルム,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
11050,20170417,新村田橋,村田川,C,1410,流心（中央）,0.2,市原市,曇り,21.2,18,0.58,2.44,0.16,,>30.0,7.8,9.3,2,5.1,9,7.90E+03,,2.8,0.1,,,,,,,,,,,,<0.002,,,,,,,,,,,,,,,,0.12,1.3,,1.5,,,,,,,,0.87,,0.076,,,3.2,,360,,1000,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11050,20170508,新村田橋,村田川,C,940,流心（中央）,0.2,市原市,晴れ,24.3,20.1,0.71,2.7,0.12,,>30.0,7.9,9.2,1.7,4.9,4,7.90E+03,,2.7,0.092,0.004,<0.00006,<0.0006,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.28,0.06,0.89,0.8,0.95,<0.005,<0.005,<0.01,<0.1,<0.1,<0.02,,1.3,,0.058,,,3.4,,1100,,3900,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11050,20170606,新村田橋,村田川,C,905,流心（中央）,0.2,市原市,晴れ,21.7,21.3,0.71,3.11,0.15,,>30.0,7.8,6.9,1.5,6.1,4,3.30E+04,,2.4,0.11,,,,,,,,,,,,<0.002,,,,,,,,,,,,,,,,0.03,0.82,,0.85,,,,,,,,1.1,,0.071,,,3.8,,1200,,4600,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11050,20170710,新村田橋,村田川,C,1135,流心（中央）,0.2,市原市,晴れ,34.3,27.6,0.61,4.22,0.23,,>30.0,7.9,7.9,2.7,5.8,18,4.90E+03,,3.2,0.17,,,,,,,,,,,,<0.002,,,,,,,,,,,,,,,,0.09,0.91,,1,,,,,,,,1.9,,0.11,,,4.6,,900,,3000,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11050,20170809,新村田橋,村田川,C,1205,流心（中央）,0.2,市原市,晴れ,36.1,29.4,0.46,3,0.22,,>30.0,7.8,6.3,2,6.7,11,4.90E+04,,2.7,0.12,0.023,,,<0.0003,<0.1,0.001,<0.005,0.003,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.16,0.72,,0.88,<0.005,<0.005,<0.01,<0.1,0.4,<0.02,,1.5,,0.079,,,4.4,,1100,,3400,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11050,20170905,新村田橋,村田川,C,1015,流心（中央）,0.2,市原市,曇り,24.8,21.9,0.8,4.64,0.23,,>30.0,7.8,7.7,7.2,14,6,4.90E+04,,2.9,0.23,,,,,,,,,,,,<0.002,,,,,,,,,,,,,,,0.09,0.21,0.96,<0.1,1.1,,,,,,,,1,,0.078,,,4.6,,110,,250,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11050,20171003,新村田橋,村田川,C,920,流心（中央）,0.2,市原市,曇り,21.8,20.6,0.8,5.09,0.19,,>30.0,7.7,7.1,0.8,4.7,19,7.90E+04,,1.9,0.062,,,,,,,,,,,,<0.002,,,,,,,,,,,,,,,,<0.03,0.83,,0.86,,,,,,,,0.72,,0.051,,,3.6,,1300,,4700,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11050,20171107,新村田橋,村田川,C,1240,流心（中央）,0.2,市原市,晴れ,21.3,16.7,1.18,2.1,0.05,,>30.0,7.7,9.2,0.7,3.2,3,1.30E+04,,2.2,0.047,0.003,<0.00006,0.0007,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.2,0.07,1.5,0.3,1.6,<0.005,<0.005,<0.01,<0.1,<0.1,<0.02,<0.0006,0.45,,0.039,,,2.1,,470,,1400,<0.05,<0.002,<0.001,,,,,,<0.0006,<0.004,<0.006,<0.02,<0.0008,<0.0005,<0.0003,<0.004,<0.004,<0.005,<0.0008,<0.0008,<0.003,<0.0008,<0.0001,<0.06,<0.04,<0.006,<0.007,<0.0002,<0.00004,0.08,0.0003,<0.001,<0.1,<0.00007,<0.002,<0.0003
11050,20171205,新村田橋,村田川,C,1150,流心（中央）,0.2,市原市,晴れ,13.5,13.2,0.7,4.01,0.1,,>30.0,7.7,9.5,1,2.5,1,3.30E+03,,2.3,0.059,,,,,,,,,,,,<0.002,,,,,,,,,,,,,,,,0.06,1.6,,1.6,,,,,,,,0.43,,0.052,,,2,,700,,2300,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11050,20180115,新村田橋,村田川,C,1015,流心（中央）,0.2,市原市,晴れ,7.6,8.2,1.07,1.44,0.04,,>30.0,7.8,11,0.8,3.4,4,4.90E+03,,2.7,0.071,,,,,,,,,,,,<0.002,,,,,,,,,,,,,,,0.18,0.06,1.4,0.3,1.5,,,,,,,,0.99,,0.065,,,2.3,,590,,1900,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11050,20180206,新村田橋,村田川,C,1510,流心（中央）,0.2,市原市,晴れ,8.5,9,0.88,2,0.06,,>30.0,7.8,11,0.6,2.8,1,7.90E+02,,2.5,0.071,0.004,,,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.06,1.7,,1.7,<0.005,<0.005,<0.01,<0.1,<0.1,<0.02,,0.39,,0.056,,,3.1,,610,,1900,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11050,20180302,新村田橋,村田川,C,1130,流心（中央）,0.2,市原市,晴れ,13.8,12.1,0.76,3.9,0.16,,>30.0,7.8,10,3.3,6.2,15,2.40E+03,,2.5,0.1,,,,,,,,,,,,<0.002,,,,,,,,,,,,,,,,0.1,1.4,,1.5,,,,,,,,0.47,,0.046,,,4.4,,39,,52,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11060,20170407,都橋,都川,E,800,流心（中央）,0.2,千葉市,雨,18.5,16.1,2.89,2.18,0.05,,>30.0,7.8,8.1,0.6,2.6,1,,,2.9,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11060,20170511,都橋,都川,E,820,流心（中央）,0.2,千葉市,晴れ,22.5,18,2.86,5.44,0.14,,>30.0,7.7,7.3,0.7,3.9,2,,,2.7,0.11,0.004,<0.00006,0.0027,<0.0003,<0.1,<0.001,<0.005,<0.005,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.005,0.17,0.07,2,0.6,2.1,,<0.005,<0.01,0.1,<0.1,<0.02,,0.22,,0.085,,,<2,,790,,2500,<0.05,,<0.001,,,,,,,,,,,,,,,,,,,,,,,,<0.007,,,,,,,,,
11060,20170614,都橋,都川,E,810,流心（中央）,0.2,千葉市,曇り,18.7,18,3.27,7.07,0.14,,>30.0,7.7,8.2,1.6,4.3,4,7.90E+04,<1,2.5,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.005,,,,,,<0.0006,,,,,,,,,,,,,,,,,,,<0.006,<0.004,<0.006,<0.02,<0.0008,<0.0005,<0.0003,<0.004,<0.004,<0.005,<0.0008,<0.0008,<0.003,<0.0008,<0.0001,<0.06,<0.04,<0.006,,<0.0002,<0.00004,0.05,0.0004,<0.001,<0.1,<0.00007,<0.002,<0.0003
11060,20170713,都橋,都川,E,800,流心（中央）,0.2,千葉市,晴れ,31.4,26,3.5,8.49,0.14,,>30.0,7.9,6.1,1.2,3.8,4,,,3.8,0.26,,,,<0.0003,<0.1,<0.001,<0.005,<0.005,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,,,,<0.001,,0.21,0.21,1.8,0.8,2,,,,,,,,0.87,,0.22,,,2,,970,,3000,<0.05,<0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11060,20170810,都橋,都川,E,1030,流心（中央）,0.2,千葉市,曇り,28.5,25.3,2.48,6.39,0.18,,>30.0,7.8,5.5,0.9,2.9,3,,,2.2,0.11,0.003,<0.00006,0.0044,,,,,,,,<0.0005,,,,,,,,,,,<0.0006,<0.0003,<0.002,,,,,,,,,,<0.01,0.1,0.1,<0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11060,20170920,都橋,都川,E,810,流心（中央）,0.2,千葉市,曇り,24.2,21.6,2.95,7.83,0.18,,>30.0,7.7,5.8,0.8,3.4,3,4.90E+04,<1,2.7,0.095,,,,<0.0003,<0.1,<0.001,<0.005,<0.005,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,,,,<0.001,<0.005,0.22,0.06,1.9,1,2.1,,<0.005,,,,,,0.23,,0.081,,,<2,,1100,,3500,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11060,20171006,都橋,都川,E,820,流心（中央）,0.2,千葉市,曇り,17.1,17.7,3.17,6.97,0.15,,>30.0,7.9,6.4,<0.5,2.6,2,,,3.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11060,20171108,都橋,都川,E,820,流心（中央）,0.2,千葉市,雨,17.4,16.5,3.63,6.77,0.12,,>30.0,7.9,5.3,0.6,2.5,1,,,3.3,0.084,0.003,0.00014,0.0075,<0.0003,<0.1,<0.001,<0.005,<0.005,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,,0.12,0.09,2.6,0.3,2.7,,<0.005,<0.01,0.1,<0.1,<0.02,,0.44,,0.073,,,<2,,490,,1400,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11060,20171208,都橋,都川,E,1030,流心（中央）,0.2,千葉市,曇り,7.6,9.4,3.77,6.49,0.12,,>30.0,7.9,9.2,0.7,2.3,1,7.90E+02,<1,2.8,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11060,20180117,都橋,都川,E,755,流心（中央）,0.2,千葉市,曇り,7.6,9.5,3.34,7.46,0.14,,>30.0,7.8,10,1.4,1.9,2,,,2.8,0.099,,,,<0.0003,<0.1,<0.001,<0.005,<0.005,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,,,,<0.001,<0.005,0.14,0.04,2.7,0.4,2.8,,,,,,,,0.09,,0.083,,,<2,,530,,1500,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11060,20180214,都橋,都川,E,810,流心（中央）,0.2,千葉市,晴れ,3,7.1,3.03,4.7,0.11,,>30.0,7.9,10,0.8,1.7,<1,,,2.9,0.09,0.004,0.00008,0.0074,,,,,,,,,,,,,,,,,,,<0.0006,<0.0003,<0.002,,,,,,,,,,<0.01,0.2,<0.1,<0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11060,20180314,都橋,都川,E,805,流心（中央）,0.2,千葉市,晴れ,13.9,12.8,1.42,4.55,0.13,,>30.0,7.8,8.7,0.7,2.7,1,4.90E+03,<1,3.1,0.08,,,,<0.0003,<0.1,<0.001,<0.005,<0.005,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,,,,<0.001,<0.005,0.12,0.06,2.6,0.3,2.7,,<0.005,,,,,,0.21,,0.068,,,<2,,420,,1100,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11071,20170407,日本橋,葭川,E,820,流心（中央）,0.2,千葉市,雨,18.7,16.1,2.85,0.68,0.03,,>30.0,7.6,4.5,8.1,7,<1,,,15,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11071,20170511,日本橋,葭川,E,850,流心（中央）,0.2,千葉市,晴れ,22.5,18.6,2.4,1.39,0.07,,>30.0,7.5,4.7,6.4,8.3,2,,,16,0.14,0.011,<0.00006,0.015,<0.0003,<0.1,<0.001,<0.005,<0.005,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.005,0.1,1.1,3.3,0.5,4.5,,<0.005,<0.01,0.1,<0.1,<0.02,,10,,0.11,,,5,,830,,2600,0.11,,<0.001,,,,,,,,,,,,,,,,,,,,,,,,<0.007,,,,,,,,,
11071,20170614,日本橋,葭川,E,900,流心（中央）,0.2,千葉市,曇り,19.4,18.6,3.21,1.38,0.05,,>30.0,7.5,7.2,4.5,6.6,7,3.30E+05,<1,5.8,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.005,,,,,,<0.0006,,,,,,,,,,,,,,,,,,,<0.006,<0.004,<0.006,<0.02,<0.0008,<0.0005,0.0006,<0.004,<0.004,<0.005,<0.0008,<0.0008,<0.003,<0.0008,<0.0001,<0.06,<0.04,<0.006,,<0.0002,<0.00004,0.03,0.0002,<0.001,<0.1,<0.00007,<0.002,<0.0003
11071,20170713,日本橋,葭川,E,835,流心（中央）,0.2,千葉市,晴れ,31.5,26.7,3.38,1.27,0.05,,>30.0,8,5.3,2.4,8.5,4,,,16,0.13,,,,<0.0003,<0.1,<0.001,<0.005,<0.005,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,,,,<0.001,,<0.08,1.8,2.8,0.4,4.6,,,,,,,,9.8,,0.1,,,5,,790,,2500,0.07,<0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11071,20170810,日本橋,葭川,E,1055,流心（中央）,0.2,千葉市,曇り,29.7,25.4,2.19,1.94,0.1,,>30.0,7.6,3.3,2.6,6.3,2,,,14,0.12,0.009,<0.00006,0.024,,,,,,,,<0.0005,,,,,,,,,,,<0.0006,<0.0003,<0.002,,,,,,,,,,<0.01,0.1,<0.1,<0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11071,20170920,日本橋,葭川,E,830,流心（中央）,0.2,千葉市,曇り,24,22.1,2.86,0.92,0.04,,>30.0,7.6,3.9,3.8,8.1,1,1.30E+05,<1,17,0.11,,,,<0.0003,<0.1,<0.001,<0.005,<0.005,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,,,,<0.001,<0.005,0.13,1,2.9,0.8,4,,<0.005,,,,,,11,,0.088,,,5,,1100,,3700,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11071,20171006,日本橋,葭川,E,850,流心（中央）,0.2,千葉市,曇り,18.4,17.5,2.76,1.77,0.09,,>30.0,7.7,4.5,7.9,8,1,,,21,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11071,20171108,日本橋,葭川,E,850,流心（中央）,0.2,千葉市,雨,17.9,17.5,3.7,-0.13,<0.01,,>30.0,7.7,8.8,6.2,7.4,<1,,,16,0.1,0.007,0.00016,0.01,<0.0003,<0.1,<0.001,<0.005,<0.005,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,,<0.08,1.6,3.7,0.3,5.4,,<0.005,<0.01,0.1,<0.1,<0.02,,10,,0.083,,,4,,650,,1900,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11071,20171208,日本橋,葭川,E,1100,流心（中央）,0.2,千葉市,曇り,7.8,9.6,3.32,1.67,0.06,,>30.0,7.6,5.2,5,9.5,1,1.10E+03,<1,17,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11071,20180117,日本橋,葭川,E,820,流心（中央）,0.2,千葉市,曇り,8.2,10.3,3.26,1.44,0.06,,>30.0,7.6,10,8,7.7,1,,,16,0.11,,,,<0.0003,<0.1,<0.001,<0.005,<0.005,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,,,,<0.001,<0.005,0.09,1.7,3.3,0.5,5.1,,,,,,,,11,,0.092,,,5,,850,,2600,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11071,20180214,日本橋,葭川,E,850,流心（中央）,0.2,千葉市,晴れ,5.8,6.9,2.8,0.04,<0.01,,>30.0,7.6,5.8,8.2,8.6,1,,,19,0.1,0.007,<0.00006,0.022,,,,,,,,,,,,,,,,,,,<0.0006,<0.0003,<0.002,,,,,,,,,,<0.01,0.1,<0.1,<0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11071,20180314,日本橋,葭川,E,835,流心（中央）,0.2,千葉市,晴れ,14.7,12.8,2.78,0.83,0.04,,>30.0,7.9,5,8.8,8.4,1,1.70E+04,<1,16,0.11,,,,<0.0003,<0.1,<0.001,<0.005,<0.005,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,,,,<0.001,<0.005,0.08,1,3.6,0.4,5.2,,<0.005,,,,,,10,,0.086,,,5,,700,,1900,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11080,20170419,新花見川橋,印旛放水路下流,C,1110,流心（中央）,0.2,千葉市,晴れ,22.9,18.6,3.47,16.4,0.14,,>30.0,7.9,10,4.4,6.1,10,,,2.7,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11080,20170517,新花見川橋,印旛放水路下流,C,1030,流心（中央）,0.2,千葉市,曇り,19.2,19.6,3.43,13.6,0.13,,>30.0,7.6,4.5,1.4,3.6,3,,,2.2,0.13,0.008,<0.00006,<0.0006,<0.0003,<0.1,<0.001,<0.005,<0.005,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.005,0.52,0.08,1.3,2.4,1.4,,<0.005,<0.01,<0.1,0.1,<0.02,,0.46,,0.11,,,2,,2400,,8500,<0.05,,<0.001,,,,,,,,,,,,,,,,,,,,,,,,<0.007,,,,,,,,,
11080,20170615,新花見川橋,印旛放水路下流,C,1055,流心（中央）,0.2,千葉市,曇り,25,22.8,3.12,12.8,0.12,,>30.0,7.7,5.9,1.5,7,6,4.60E+04,<1,2.4,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.005,,,,,,<0.0006,,,,,,,,,,,,,,,,,,,<0.006,<0.004,<0.006,<0.02,<0.0008,<0.0005,<0.0003,<0.004,<0.004,<0.005,<0.0008,<0.0008,<0.003,<0.0008,<0.0001,<0.06,<0.04,<0.006,,<0.0002,<0.00004,0.07,0.001,<0.001,<0.1,<0.00007,<0.002,<0.0003
11080,20170728,新花見川橋,印旛放水路下流,C,1225,流心（中央）,0.2,千葉市,晴れ,32.7,28.1,2.57,6.47,0.07,,>30.0,7.9,4.1,2.5,5.9,5,,,1.9,0.23,,,,<0.0003,<0.1,<0.001,<0.005,<0.005,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,,,,<0.001,,0.55,0.05,0.82,1.8,0.87,,,,,,,,0.79,,0.17,,,2,,2400,,8400,<0.05,<0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11080,20170804,新花見川橋,印旛放水路下流,C,825,流心（中央）,0.2,千葉市,曇り,28.3,26.3,2.42,2.07,0.02,,>30.0,7.7,4,2.9,3.4,5,,,1.5,0.47,0.003,0.00006,<0.0006,,,,,,,,<0.0005,,,,,,,,,,,<0.0006,<0.0003,<0.002,,,,,,,,,,<0.01,<0.1,<0.1,<0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
